Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,RunMode,WindowSize,StepSize
Soft Voting,0.9026666666666666,0.6759927036792248,0.7470380554654085,0.7017554052617442,,quick,128,64
Random Forest,0.894,0.6909028808341786,0.6768848410139746,0.6601558780052587,,quick,128,64
XGBoost,0.8826666666666667,0.6574619172510342,0.6397720347054479,0.6207926234012681,,quick,128,64
Tuned XGBoost,0.8826666666666667,0.63653829319676,0.6461267842919047,0.6182230714336334,,quick,128,64
Stacking,0.9146666666666666,0.6424943657854373,0.6275704604886858,0.6095653317543933,,quick,128,64
Linear SVM,0.9013333333333333,0.543382849398946,0.614986386707545,0.5711379722768068,,quick,128,64
SelectKBest + Logistic Regression,0.8826666666666667,0.5107505899132653,0.6333757245146218,0.54676535288539,,quick,128,64
Logistic Regression,0.8713333333333333,0.5125361981550575,0.6345554347836257,0.5438360979538145,,quick,128,64
KNN,0.8926666666666667,0.5419165778421614,0.5067085556757452,0.5095017754321647,,quick,128,64
1D CNN,0.664,0.41175760090349534,0.47035716993726123,0.3938061629553397,,quick,128,64
1D CNN + Augmentation,0.6506666666666666,0.38276569157247303,0.48735950591685295,0.37110898792903696,,quick,128,64
Decision Tree (Baseline),0.49066666666666664,0.2893351943516549,0.4519243305495397,0.31007185729019116,,quick,128,64
CNN-LSTM,0.4553333333333333,0.37330170885186703,0.45967176904188045,0.30150629493675285,,quick,128,64
