,precision,recall,f1-score,support
1: Walking,0.9736346516007532,0.9006968641114983,0.9357466063348416,574.0
2: Running,0.0,0.0,0.0,0.0
3: Shuffling,0.3942307692307692,0.6507936507936508,0.49101796407185627,63.0
4: Stairs (up),0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
5: Stairs (down),0.75,0.9,0.8181818181818182,10.0
6: Standing,0.9122137404580153,0.9053030303030303,0.908745247148289,264.0
7: Sitting,1.0,0.9631901840490797,0.98125,489.0
8: Lying,0.6052631578947368,1.0,0.7540983606557377,23.0
13: Cycling,0.7674418604651163,0.825,0.7951807228915663,40.0
14: Nordic walking,0.0,0.0,0.0,5.0
130: Sitting (other),0.5238095238095238,0.6111111111111112,0.5641025641025641,18.0
140: Lying (other),0.0,0.0,0.0,0.0
accuracy,0.9026666666666666,0.9026666666666666,0.9026666666666666,0.9026666666666666
macro avg,0.5633272530660206,0.6225317128878404,0.5847961710514535,1500.0
weighted avg,0.9244941474044723,0.9026666666666666,0.9106993768903426,1500.0
